药材,古籍,别名,性味归经,功用,药材简介,药剂1,药剂2,药剂3,药剂4,药剂5,药剂6,药剂7,药剂8,药剂9,药剂10,用法用量,注意事项
白芷,《神农本草经》,川白芷、芳香,辛，温。归肺、胃、大肠经。,解表散寒，祛风止痛，宣通鼻窍，燥湿止带，消肿排脓。,白芷，中药名。为伞形科当归属植物白芷和杭白芷的根。具有解表散寒，祛风止痛，通鼻窍，燥湿止带，消肿排脓，祛风止痒的功效。主治风寒感冒，头痛、牙痛、痹痛等多种疼痛，鼻渊，带下证，疮痈肿毒，皮肤风湿瘙痒等。,白芷配细辛,白芷配黄柏、秦皮,白芷配车前子,白芷配桔梗,九味羌活汤,都梁丸,川芎茶调散,苍耳子散,仙方活命饮,,白芷煎汁内服时，成人每天的常规用量为3~10克。 白芷可入丸、散。外用时也可适量研末撒或调敷，或捣敷。,本品辛香温燥，阴虚血热者忌服。
防风,《神农本草经》,铜芸、回草、百枝,辛、甘，微温。归膀胱、肝、脾经。,祛风解表，胜湿止痛，止痉。,"防风，中药名。为伞形科防风属植物防风的根。具有祛风解表，胜湿止痛，止痉的功效。主治外感表证，风疹瘙痒，风湿痹痛，破伤风证。以春天采较好，一般采挖法，在雨后土地湿润时，用特制工具挖掘,",防风配秦艽,防风配天南星,防风配防己,防风配苍术,防风配白术,荆防败毒散,羌活胜湿汤,防风通圣散,蠲痹汤,,防风煎汁内服时，成人每天的常规用量为5~10克。 防风也可以制成丸剂、散剂或酒剂，需适量。 防风外用适量，研末调敷。 防风治疗表证多生用，治疗出血宜炒炭用，治疗泄泻可煨用（将药物用湿面或湿纸包裹，埋于热火灰中缓慢加热）。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,本品药性偏温，阴血亏虚、热病动风者不宜使用。
羌活,《神农本草经》,羌青、护羌使者、胡王使者、羌滑、退风使者、黑药,辛、苦，温。归膀胱、肾经。,解表散寒，祛风除湿，止痛。,羌活，中药名。为伞形科羌活属植物羌活或宽叶羌活的根茎及根。具有解表散寒，祛风胜湿，止痛的功效。主治风寒感冒，风寒湿痹。,羌活配防风,羌活配川芎,羌活配桂枝,羌活配五加皮,九味羌活汤,羌活胜湿汤,蠲痹汤,羌活芎藁汤,,,羌活煎汁内服时，成人每天的常规用量为3～10克。或入丸、散。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.性温，多用久服易助热伤阴，诱发或加重热性病症，凡外感风热或温热、内热炽盛、阴虚火旺者不宜单味药服用；肾癌患者忌用。 2.燥湿之力较强，多服易损伤阴血，凡津亏血虚者（如肺结核、遗精等患者）不宜长期服用。 3.辛苦而燥气味浓烈，过量内服，可诱发胃气上逆，导致恶心、呕吐等症，故慢性肝炎、慢性胃炎、久病体虚、脾胃虚弱、食欲不振者忌大量长期服用。 4.孕妇不宜长期服用。
细辛,《神农本草经》,华细辛、盆草细辛、绿须姜、独叶草、玉香丝、金盆草、咕噜子草药,辛，温。归心、肺、肾经。,解表散寒，祛风止痛，通窍，温肺化饮。,细辛，中药名。为马兜铃科细辛属植物北细辛、汉城细辛或华细辛的根及根茎。前两种习称辽细辛。具有解表散寒，祛风止痛，通窍，温肺化饮的功效。主治风寒感冒，头痛，牙痛，风湿痹痛，鼻渊，肺寒咳嗽。细辛又名细参、烟袋锅花。,细辛配川芎,细辛配附子,细辛配茯苓,细辛配生石膏,细辛配生地黄,麻黄附子细辛汤,九味羌活汤,小青龙汤,苓甘五味姜辛汤,,细辛煎汁内服时，成人每天的常规用量为1~3克。 散剂每次服用0.5~1克。 外用适量。可以研末外敷、吹鼻或煎水含漱。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响细辛药效的发挥与食物的消化。 有小毒，不宜过量，过量易致中毒。,"细辛有小毒，故临床用量不宜过大，细辛作单味或散末内服不可过钱(3g) , 如入汤剂便可不拘泥于此.细辛在煎煮三十分钟后，其毒性成分黄樟醚的含量能大大下降，不足以引起中毒。 阴虚阳亢头痛，肺燥伤阴干咳者忌用。不宜与藜芦同用。"
生姜,《名医别录》,姜皮、姜、姜根、百辣云,辛，微温。归肺、脾、胃经。,解表散寒，温中止呕，化痰止咳，解鱼蟹毒，调和阴阳,生姜，中药名。为姜科姜属植物姜的新鲜根茎。具有解表散寒，温中止呕，温肺止咳，解毒的功效。主治风寒感冒，脾胃寒症，胃寒呕吐，肺寒咳嗽，还可解鱼蟹毒。,生姜配大枣,生姜配竹茹,生姜汁配竹沥汁,生姜汁配白蜜,生姜汁配萝卜汁,桂枝汤,小半夏汤,生姜泻心汤,二陈汤,,生姜煎汁内服时，成人每天的常规用量为3～10克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,本品助火伤阴，故热盛及阴虚内热者忌服。
藁本,《神农本草经》,香藁本,辛，温。归膀胱经。,祛风散寒，除湿止痛。,藁本，中药名。为伞形科藁本属植物藁本或辽藁本的根茎和根。具有祛风散寒，除湿止痛的功效。主治风寒表证，巅顶疼痛，风湿痹痛。,藁本配羌活,藁本配川芎,藁本配苍术,羌活胜湿汤,羌活芎藁汤,神术散（《和剂局方》）,芎菊上清丸,小儿鼻炎片,,,藁本煎汁内服时，成人每天的常规用量为3～10克。 除消食药（应该在饭后服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,本品辛温香燥，凡阴血亏虚、肝阳上亢、火热内盛之头痛者忌服。
桂枝,《名医别录》,柳桂,辛、甘，温。归心、肺、膀胱经。,发汗解肌，温通经脉，助阳化气，平冲降逆。,桂枝，中药名。为樟科樟胡椒属植物肉桂的嫩枝。具有发汗解肌，温通经脉，助阳化气的功效。主治风寒感冒，寒凝血滞诸痛症，痰饮，蓄水证，心悸。,,,,,,,,,,,煎服，3～10g。,热病高热，阴虚火旺，血热妄行者禁服。 孕妇慎用
紫苏叶,《名医别录》,苏叶、赤苏、紫苏、皱苏、尖苏、香苏叶、鸡冠紫苏、子苏,辛，温。归肺、脾经。,解表散寒，行气和胃。,紫苏叶，中药名。为唇形科紫苏属植物紫苏-和野紫苏的叶或嫩枝叶。 具有散寒解表，行气化痰，安胎，解鱼蟹毒的功效。 主治风寒表证，咳嗽痰多，胸脘胀满，恶心呕吐，腹痛吐泻，胎气不和，妊娠恶阻，食鱼蟹中毒。在中草药地上部分生长最旺盛时或在花蕾将开放时，亦或在花盛开，果实尚未成熟时采收。,紫苏叶配广藿香 紫苏叶配蝉蜕 紫苏叶配苦杏仁 紫苏叶配陈皮 紫苏叶配黄连 香苏散 杏苏散 参苏饮 半夏厚朴汤,,,,,,,,,,紫苏叶煎汁内服时，成人每天的常规用量为5～10克，不宜久煎。或捣汁冲服。外用适量，捣敷或煎水洗。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,阴虚、气虚及温病者慎服。 1.《本草经疏》：病属阴虚，因发寒热或恶寒及头痛者，慎毋投之，以病宜敛宜补故也。火升作呕者亦不宜。 2.《纲目》：“李廷飞曰：不可同鲤鱼食，生毒疮。”
辛夷,《神农本草经》,木兰、紫玉兰、木笔、望春,辛，温。归肺、胃经。,散风寒，通鼻窍。,辛夷，中药名。为木兰科木兰属植物望春花、玉兰或武当玉兰的花蕾。具有发散风寒，通鼻窍的功效。主治风寒感冒，鼻塞，鼻渊。,辛夷配苍耳子,辛夷配天花粉,苍耳子散,鼻炎片,辛芳鼻炎胶囊,辛夷鼻炎丸,肺经风热导致的鼻塞，咳嗽痰多,,,,辛夷煎汁内服时，成人每天的常规用量为3~10克。 辛夷可入丸、散。外用时适量，研末塞鼻或水浸蒸馏滴鼻。 辛夷有毛，容易刺激咽喉，入汤剂宜用纱布包煎。 无论饭前还是饭后服，服药与进食都应间隔0.5-1小时，以免影响药物的吸收和药效的发挥。。,鼻病因于阴虚火旺者忌服。
谷精草,《开宝本草》,戴星草、文星草、流星草、天星草,辛、甘，平。归肝、肺经。,清肝明目，疏散风热。,谷精草，中药名。为谷精草科谷精草属植物谷精草的干燥带花蕾的头状花序。具有疏散风热，明目，退翳的功效。主治风热目赤，眼生翳膜，风热头痛、齿痛。,密蒙花配谷精草,谷精草汤,煮肝散,疳积散,复明片,小儿肠胃康颗粒,,,,,谷精草煎汁内服时（忌用铁器煎煮），成人每天的常规用量为5～10克。 谷精草还可以适量外用，可以研末吸入鼻内，也可以调敷在患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,阴虚血亏之眼疾者不宜用。
苍耳子,《神农本草经》,苍子、牛虱子、猪耳、菜耳、老苍子,辛、苦，温；有毒。归肺经。,散风寒，通鼻窍，祛风湿。,苍耳子，中药名。为菊科苍耳属植物苍耳的成熟带总苞的果实。具有发散风寒，通鼻窍，祛风湿，止痛的功效。主治风寒感冒，鼻渊，风湿痹痛，风疹瘙痒，疥癣麻风。,苍耳子配麻黄,苍耳子配威灵仙,苍耳子配防风,苍耳子散,鼻通丸,滴通鼻炎水,利鼻片,,,,苍耳子煎汁内服时，成人每天的常规用量为3~10克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 本品有毒，过量服用易致中毒。,血虚头痛不宜服用。过量服用易致中毒。
荆芥,《神农本草经》,香荆荠、线荠、四棱杆蒿、假苏,辛，微温。归肺、肝经。,解表散风，透疹，消疮。,荆芥，中药名。为唇形科荆芥属植物荆芥的地上部分。具有祛风解表，透疹消疮，止血的功效。主治外感表证，麻疹不透，风疹瘙痒，疮疡初起兼有表证、吐衄下血。在开花时采收。,荆芥配防风,荆芥配薄荷,荆芥配生石膏,荆防败毒散,银翘散,消风散,消风止痒颗粒,止嗽片,,,荆芥煎汁内服时，成人每天常规用量为5～10克。不宜煎煮时间过久。 发散肌肤表面的邪气，透疹，消除疮疡适合生用。止血适合使用炮制后的荆芥炭。 外用适量，可以捣敷、研末调和后外敷，或煎水清洗患处。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。,1.性温，凡外感风热或温热、火热内炽、阴虚火旺、血虚血热等证不宜单味药服。 2.能使汗腺分泌旺盛，自汗、盗汗等症不宜单味药大量服用；脂溢性皮炎患者忌用。 3.味辛发散，长期服用可以伤津耗气，气虚者以及婴幼儿、老年人等身体虚弱者不宜长期服用。
香薷,《名医别录》,香茹、香草,辛，微温。归肺、脾、胃经。,发汗解表，化湿和中，利水消肿。,香薷，中药名。为唇形科石荠苧属植物石香薷或江香薷的地上部分。前者称青香薷，后者称江香薷。具有发汗解表，化湿和中，利水消肿的功效。主治风寒感冒，水肿脚气。在开花时采收。,香薷配白术,香薷配苦杏仁,香薷配金银花、连翘,香薷配生石膏,香薷散,新加香薷饮,扁豆汤,暑湿感冒颗粒,,,香薷煎汁内服时，成人每天的常规用量为3～10克。 香薷可入丸、散剂。外用时适量，捣敷。或煎汤含漱。 香薷用于发表，用量不宜过大，且不宜久煎，须热服；用于利水消肿，量宜稍大，且须浓煎，须冷服或为丸服。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.性温，凡外感风热或温热、实热内炽、阴虚火旺等证不宜单味药长期服用。 2.辛温而散，有发汗之力，故表虚有汗、阴虚盗汗者忌大量长期服用。 3.有发汗之力，又有利尿作用，阴虚津液耗伤者忌长期服用；遗尿患者不宜长期服用；电解质紊乱者慎用。 4.有刺激消化腺分泌及胃肠蠕动的作用胃溃疡以及长期腹泻者不宜长期服用。 5.挥发油成分能刺激肾脏，使肾小球充血，故肾小球肾炎患者不宜多量久服。 6.肾功能不全者慎用。
麻黄,《神农本草经》,龙沙、狗骨、卑相、卑盐,辛、微苦，温。归肺、膀胱经。,发汗解表，宣肺平喘，利水消肿。,麻黄，中药名。为麻黄科麻黄属植物草麻黄、中麻黄或木贼麻黄的草质茎。具有发汗解表，宣肺平喘，利水消肿的功效。主治风寒感冒，咳嗽气喘，风水水肿。采集宜于8-9月。,麻黄配桂枝,麻黄配干姜,麻黄配射干,麻黄配白术,麻黄配附子,麻黄汤,三拗汤,小青龙汤,越婢加术汤,,麻黄煎汁内服时，成人每天的常规用量为2～10克。 入丸、散剂时用量为2～9克，外用时适量，研末调敷。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.麻黄不宜与洋地黄类强心苷药物合用，以免引起室性心律失常。 2.麻黄发散力强，易耗气伤阴，故用量不宜过大。 3.治疗风寒表证时，以生用为佳；表证不显而以咳喘为主时，当蜜炙用。 4.现代药理研究表明，麻黄的主要成分为麻黄碱，能使心肌收缩力增强，心率加速，心排血量增加，罹患严重器质性病变者或接受洋地黄治疗的患者，使用麻黄可引起心律失常。因此，心脏病患者服用麻黄当十分注意，防止过服而引起心律失常。 5.麻黄碱能兴奋中枢，作用远强于肾上腺素，大剂量能兴奋大脑皮质、脑干、延髓，导致失眠、神经过敏、不安、震颤等症状。因此，应注意不要与兴奋中枢神经的药物共用。 6.生麻黄发汗力强，风寒表证多用之；炙麻黄发汗力缓，喘咳证多用之。
葱白,《神农本草经》,大葱、香葱、细香葱、小葱、四季葱,辛，温。归肺、胃经。,发汗解表，散寒通阳。,葱白，中药名。为百合科葱属植物葱近根部的鳞茎。具有发汗解表，散寒通阳功效。主治风寒感冒，阴盛格阳等。,,,,,,,,,,,内服：煎汤，9-15g。或酒煎。煮粥食，每次可用鲜品15-30g。 外用：捣敷，炒熨，煎水洗，蜂蜜或醋调敷。,表虚多汗者慎服。
西河柳,《开宝本草》,山川柳、三春柳、西湖柳、赤柽柳、观音柳、红筋条,甘、辛，平。归肺、胃、心经。,发表透疹，祛风除湿。,西河柳，中药名。为柽柳科柽柳属植物柽柳-的嫩枝叶。具有发汗透疹，解毒，利尿的功效。主治感冒，麻疹不透，风湿关节痛，小便不利；外用治风疹瘙痒。,,,,,,,,,,,,1.治疗慢性气管炎：以柽柳细撇枝叶入药，制成煎剂、冲剂、丸剂和注射剂等应用。 2.煎剂：取鲜柽柳2两(干者减半)，白矾6分，水煎两次(白矾分两次人煎)，药液混合，早晚分服。 3.冲剂：以鲜柽柳3斤(干者减半)，柽柳细粉半斤，白矾3两，制成冲剂100包(每包重5-5.5g)，每次开水冲服1包，每日2次。 4.丸剂：用柽柳细粉1斤，白矾细粉2.4两，混合制成水丸。每次服2钱，每日2次。 5.注射液：每毫升含干生药1g，每次-4ml，肌肉注射，每日一次。均10天为一疗程。
胡荽,香菜、香荽、胡菜、蒝荽、园荽、芫荽、莞荽、莚荽菜、莚葛草、满天星,味辛，性温；归肺、胃经,发表透疹，开胃消食。,胡荽，中药名。为伞形科芫荽属植物芫荽的全草。具有发表透疹，开胃消食功效。主治麻疹不透，饮食不消，纳食不佳。,内服：煎服，9-15g，鲜品15-30g，或捣汁。外用：煎汤洗；或捣敷；或绞汁服。,,,,,,,,,,,热毒壅盛而疹出不畅者忌服。,1、胡荽配荆芥、薄荷：三者均能解表透疹，相伍能増强疗效。常用治风寒束表，疹发不畅，或疹出而又复隐者。 2、胡荽配神曲、木香：胡荽气味芳香，能开胃消食，增进食欲；神曲能消食化积，健脾开胃；木香能行气调中。三者相伍，行气健脾消食。可用治饮食积滞，胃纳不佳者。
升麻,《神农本草经》,龙眼根、窟窿牙根,辛、微甘，微寒。归肺、脾、胃、大肠经。,发表透疹，清热解毒，升举阳气。,升麻，中药名。为毛茛科升麻属植植物大三叶升麻、兴安升麻或升麻的根茎。具有解表透疹，清热解毒，升举阳气的功效。主治外感表证，麻疹不透，齿痛口疮，咽喉肿痛，温毒发斑，气虚下陷，脏器脱垂，崩漏下血。,升麻配柴胡,升麻配生石膏,升麻配牛蒡子,升麻配桔梗,升麻配白芷,升麻葛根汤,清胃散,普济消毒饮,补中益气汤,,升麻煎汤内服时，成人每天的常规用量为3～10克，也可以入丸、散剂，外用适量研末调敷，或含漱，或淋洗。 升麻透疹解表、清热解毒宜生用，升阳举陷宜蜜炙用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,麻疹已透，阴虚火旺，以及阴虚阳亢者，均当忌用。
柴胡,《神农本草经》,北柴胡、南柴胡、地熏、山菜、菇草、柴草,辛、苦，微寒。归肝、胆、肺经。,疏散退热，疏肝解郁，升举阳气。,柴胡，中药名。为伞形科柴胡属植物柴胡或狭叶柴胡的干燥根。具有解表退热，疏肝解郁，升举阳气的功效。主治表证发热，少阳证，肝郁气滞，气虚下陷，脏器脱垂，退热截疟。春天采较好，在雨后土地湿润时，用特制工具挖掘。 柴胡按产地及药物性状不同分为南柴胡和北柴胡，按品种分为竹叶柴胡和春柴胡两种，其中春柴胡又名“芽胡”，特指春季采收的全株幼嫩柴胡，所以春柴胡是柴胡植物的一种类别。,柴胡配黄芩,柴胡配枳壳,柴胡配桂枝,柴胡配牡蛎,柴胡配细辛,柴葛解肌汤,小柴胡汤,柴胡疏肝散,逍遥散,,柴胡煎汁内服时，成人每天的常规用量为3～10克。 柴胡也可入丸剂、散剂。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。 疏散退热宜生用，用量宜稍大；疏肝解郁宜醋炙，用中等量；升举阳气宜生用或酒炙，量宜少。鳖血炒可退虚热。,柴胡其性升散，古人有“柴胡劫肝阴”之说，阴虚阳亢，肝风内动，阴虚火旺及气机上逆者忌用或慎用。
葛根,《神农本草经》,葛条、甘葛、葛藤、干葛,甘、辛，凉。归脾、胃、肺经。,解肌退热，生津止渴，透疹，升阳止泻，通经活络，解酒毒。,葛根，中药名。为豆科葛属植物野葛的干燥根。具有解肌退热，透疹，生津止渴，升阳止泻的功效。主治表证发热，项背强痛，麻疹不透，热病口渴，阴虚消渴，热泄热痢，脾虚泄泻。秋末及冬季采收。,葛根配柴胡,葛根配麻黄,葛根配桂枝,葛根配白术,葛根配升麻,柴葛解肌汤,葛根汤,升麻葛根汤,葛根黄芩黄连汤,,葛根煎汁内服时，成人每天的常规用量为10～15克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 解肌退热、透疹、生津止渴、透疹宜生用，升阳止泻宜煨用。,虚寒者忌用，胃寒呕吐者慎用。
桑叶,《神农本草经》,萝、家桑、荆桑、桑椹树、黄桑叶、桑枣树、霜桑叶、冬桑叶,甘、苦，寒。归肺、肝经。,疏散风热，清肺润燥，平抑肝阳，清肝明目。,桑叶，中药名。为桑科桑属植物桑的干燥叶。具有疏散风热，清肺润燥，平抑肝阳，清肝明目的功效。主治风热感冒、温病初起，肺热咳嗽、燥热咳嗽，肝阳眩晕，目赤昏花。 桑叶多于霜降后9-10月间采收（故名“霜桑叶”），采收自落者或用杆子打下者，除去杂质晒干即可 。,,,,,,,,,,,桑叶煎汁内服时，成人每天的常规用量为5～10克，或入丸、散。外用适量，煎水洗眼。 发挥清肺润燥作用时多蜜炙用，发挥其他功效时多生用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,
菊花,《神农本草经》,寿客、金英、黄华、秋菊、陶菊、日精、女华、延年、隐逸花、家菊,辛、甘、苦，微寒。归肺、肝经。,疏散风热，平抑肝阳，清肝明目，清热解毒。,菊花，中药名。为菊科菊属植物菊的干燥头状花序。具有疏散风热，平抑肝阳，清肝明目，清热解毒的功效。主治风热感冒，温病初起，肝阳眩晕，肝风实证，目赤昏花，疮痈肿毒。初放时采。,,,,,,,,,,,菊花煎汁内服时，成人每天的常规用量为5~10克。 可以入丸散剂或者代茶饮。 外用时适量，煎出汤熏洗或捣烂后外敷。 黄菊花一般用于治疗外感风热，白菊花多用于清肝明目。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。,
牛蒡子,《名医别录》,恶实、鼠粘子、黍粘子、大力子、毛然然子、黑风子、毛锥子,辛、苦，寒。归肺、胃经。,疏散风热，宣肺祛痰，利咽透疹，解毒消肿，通利二便,牛蒡子，中药名。为菊科牛蒡属植物牛蒡的干燥成熟果实。具有疏散风热，宣肺祛痰，利咽透疹，解毒消肿的功效。主治风热感冒，温病初起，麻疹不透，风疹瘙痒，痈肿疮毒，丹毒，痄腮喉痹。,牛蒡子配桔梗,牛蒡子配连翘,牛蒡子配白芷,银翘散,消风散,普济消毒饮,羚羊感冒胶囊（片）,小儿清咽颗粒,,,内服：煎汤3~10g，或入丸散。入煎剂宜打碎，炒用寒性略减。 本品多炒用，可降低其寒性，使苦寒、滑肠的药性稍减弱。 外用适量，可煎水含漱。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,本品性寒，滑肠通便，气虚便溏者慎用。
