药材,别名,性味归经,功用,症状,药材分类,用法用量,注意事项
陈皮,橘皮、贵老、黄橘皮、红皮、橘子皮、广橘皮,味辛、苦，性温；归脾、肺经,理气健脾，燥湿化痰。,1、脾胃气滞证：本品辛行温通，有行气止痛、健脾和中之功，因其苦温而燥，故寒湿阻中之气滞最宜。  2、呕吐、呃逆：陈皮辛香而行，善疏理气机、调畅中焦而使之升降有序。  3、湿痰、寒痰咳嗽：本品既能燥湿化痰，又能温化寒痰，且辛行苦泄而能宣肺止咳，为治痰之要药。  4、胸痹：本品辛行温通、入肺走胸，而能行气通痹止痛。,植物,内服：煎汤，3-10g；或入丸、散。,气虚证、阴虚燥咳、吐血证及舌赤少津、内有实热者慎服。
黄精,龙衔、白及、兔竹、垂珠、鸡格、米脯、菟竹、鹿竹、重楼、救穷、萎蕤、苟格、马箭,味甘，性平；归脾、肺、肾经,养阴润肺，补脾益气，滋肾填精。,1、阴虚劳嗽，燥咳：黄精甘平质润，善滋阴润肺，又能益气，故尤宜用于咳嗽日久，或虚劳久咳，干咳少痰，短气乏力，气阴两虚者。  2、脾虚之面黄倦怠，食少无力，或津亏之口干食少，舌红少苔：黄精既能补脾胃之气，又能养脾胃之阴。  3、消渴：黄精滋阴生津，善治阴虚内热之消渴。  4、肾虚精亏之腰膝酸软，阳痿遗精，头晕耳鸣，目暗眼花，须发早白及小儿五迟等证：黄精滋肾填精而强壮固本，用于肾亏诸症。  5、体虚羸瘦：黄精有滋补强壮作用，又为治虚弱羸瘦所常用。  6、黄精还可用治风癞癣疾等病证。,植物,内服：煎汤，10-15g，鲜品30-60g；或入丸、散，熬膏。外用：适量，煎汤洗；熬膏涂；或浸酒搽。,中寒泄泻，痰湿痞满气滞者禁服。
百合,重迈、中庭、重箱、摩罗、强瞿、百合蒜、蒜脑薯,味甘，性微寒；归肺、心、胃经,养阴润肺，清心安神。,1、阴虚燥咳，劳嗽咳血：本品微寒，作用平和，能补肺阴，兼能清肺热。润肺清肺之力虽不及北沙参、麦冬等药，但兼有一定的止咳祛痰作用。  2、阴虚有热之失眠心悸及百合病心肺阴虚内热证：本品能养阴清心，宁心安神。,植物,内服：煎服，6-12g。蜜炙可增加润肺作用。,风寒咳嗽及中寒便溏者忌服。
黄芪,黄耆、戴糁、戴椹、独椹、芰草、蜀脂、百本、王孙、百药绵、羊肉、绵黄耆、绵耆、绵芪、箭芪、土山爆张根、独根、二人抬、绵黄芪,味甘，性微温；归脾、肺经,健脾补中，升阳举陷，益卫固表，利尿，托毒生肌。,1、脾气虚证：本品甘温，善入脾胃，为补中益气要药。因其能升阳举陷，故长于治疗脾虚中气下陷之久泻脱肛，内脏下垂。本品既能补脾益气，又能利尿消肿，标本兼治，为治气虚水肿之要药。本品又能补气生血，治血虚证亦常与补血药配伍。对脾虚不能统血所致失血证，本品尚可补气以摄血。对脾虚不能布津之消渴，本品能补气生津，促进津液的生成与输布而有止渴之效。  2、肺气虚证：本品入肺又能补益肺气，可用于肺气虚弱，咳喘日久，气短神疲者，常与祛痰止咳平喘之品配伍。  3、气虚自汗证：脾肺气虚之人往往卫气不固，表虚自汗。本品能补脾肺之气，益卫固表。  4、气血亏虚，疮疡难溃难腐，或溃久难敛：本品以其补气之功还能收托毒生肌之效。  5、痹证、中风后遗症等气虚而致血滞，筋脉失养，症见肌肤麻木或半身不遂者，亦常用本品补气以行血。,植物,内服：煎服，10-20g，大剂量30-60g。固表止汗、托疮排脓、生肌敛疮、利水退肿宜生用，补脾益气升阳宜炙用。,凡表实邪盛，疮疡初起，或溃后热毒尚盛者，均不宜用。
薤白,薤根、藠子、野蒜、小独蒜、薤白头,味辛、苦，性温；归肺、胃、大肠经,通阳散结，行气导滞。,胸痹心痛、脘腹痞满胀痛、泻痢里急后重等。 ,植物,内服：煎汤，5-10g，鲜品30-60g；或入丸、散，亦可煮粥食。外用：捣敷；或捣汁涂。,1、本品辛散行气，气虚者慎服。本品为滑利之品，无滞者不宜使用。
三七,山漆、金不换、血参、人参三七、参三七、田七、滇三七、盘龙七,味甘、微苦，性温；归肝、胃经,化瘀止血，活血定痛。,主要用于各种出血证，瘀血肿痛、跌打损伤等属于瘀血阻滞者。,植物,内服：煎汤，3-9g；研末，1-3g；或入丸、散。外用：磨汁涂；或研末调敷。,孕妇慎服。
覆盆子,覆盆、乌藨子、小托盘、山泡、竻藨子,味甘、酸，性微温；归肝、肾经,固精缩尿，益肝肾明目。,主要用于肾气不足，下元虚冷而致遗精、滑精、遗尿、尿频、阳痿、不孕，以及肝肾不足，两目昏花，视物不清等。 ,植物,内服：煎汤，5-10g；或入丸、散，亦可浸酒或熬膏。,阴虚火旺，小便短赤者慎服。
石斛,林兰、禁生、杜兰、石蓫、悬竹、千年竹,味甘，性微寒；归胃、肾经,益胃生津，滋阴清热。,1、胃阴虚证，热病伤津证：本品长于滋养胃阴，生津止渴，兼能清胃热。  2、肾阴虚证：本品又能滋肾阴，兼能降虚火，适用于肾阴亏虚之目暗不明、筋骨痿软及阴虚火旺，骨蒸劳热等证。 ,植物,内服：煎服，6-12g。鲜品可用15-30g。,温热病早期阴未伤者、湿温病未化燥者、脾胃虚寒者均禁服。
冰,凌、石水,味甘，性寒,退热消暑，解渴除烦。,伤寒阳毒，热甚昏迷，中暑烦渴。,矿物,内服：含化。外用：罨敷。,
川芎,山鞠穷、芎䓖、香果、胡䓖、马衔芎䓖、雀脑芎、京芎、贯芎、抚芎、台芎、西芎,被子植物门,活血行气，祛风止痛。,主要用于心脉瘀阻之胸痹心痛、肝郁气滞之胁肋胀痛、肝血瘀阻之胸胁刺痛、瘀血阻滞之跌仆损伤、疮疡肿痛、月经不调、经闭痛经、产后瘀痛、恶露不行、多种头痛和风湿痹痛等。 ,双子叶植物纲,内服：煎汤，3-10g；研末，每次1-1.5g；或入丸、散。外用：研末撒；或煎汤漱口。,1、川芎辛温升散，肝阳上亢所引起的头痛慎用。
